Feature,Importance
feature_21,0.07330952
feature_23,0.07229328
feature_30,0.053127095
feature_13,0.04984999
feature_19,0.022649864
feature_18,0.022186896
feature_26,0.014334821
feature_105,0.013508719
feature_134,0.012950614
feature_112,0.012753498
feature_128,0.0113345925
feature_103,0.010889671
feature_9,0.010322951
feature_97,0.010283207
feature_22,0.009999172
feature_41,0.00991104
feature_95,0.009509906
feature_136,0.009426633
feature_91,0.008888386
feature_6,0.0088549405
feature_12,0.008603281
feature_3,0.008576975
feature_75,0.00841513
feature_132,0.008362035
feature_7,0.007990532
feature_94,0.007765445
feature_157,0.0076469323
feature_0,0.0073499316
feature_62,0.0073192576
feature_27,0.007212402
feature_158,0.0071826223
feature_72,0.0071536023
feature_151,0.007110299
feature_108,0.0071099987
feature_137,0.007077513
feature_146,0.0070071095
feature_39,0.006905605
feature_73,0.0068270955
feature_67,0.0067148083
feature_32,0.006497907
feature_45,0.006496821
feature_46,0.0064943195
feature_99,0.0064782873
feature_126,0.0064434395
feature_104,0.006428532
feature_10,0.0062473216
feature_24,0.0062004034
feature_47,0.006134909
feature_138,0.006099736
feature_49,0.0059193927
feature_133,0.0058422657
feature_115,0.005740203
feature_155,0.0056921975
feature_129,0.005631136
feature_66,0.0053541064
feature_74,0.0053135375
feature_149,0.0053131515
feature_119,0.0052947453
feature_109,0.005210304
feature_106,0.005200332
feature_139,0.005198133
feature_84,0.005080646
feature_55,0.0050576394
feature_125,0.0050524035
feature_150,0.00496459
feature_56,0.004884929
feature_59,0.0047468245
feature_90,0.0046534347
feature_117,0.004644295
feature_77,0.0046217036
feature_93,0.0044219624
feature_135,0.004280599
feature_79,0.0042469664
feature_147,0.0041910587
feature_131,0.004101163
feature_42,0.00405463
feature_29,0.003955115
feature_70,0.003885229
feature_154,0.0038807164
feature_148,0.003867277
feature_81,0.0038490458
feature_37,0.0037949004
feature_80,0.0037627271
feature_5,0.0037164364
feature_11,0.0037016426
feature_65,0.0036612202
feature_160,0.0036605804
feature_78,0.0036513098
feature_162,0.0036290938
feature_96,0.0036248735
feature_101,0.0035733532
feature_114,0.0035613952
feature_145,0.00351312
feature_35,0.0034554568
feature_130,0.0034387168
feature_100,0.0034210118
feature_156,0.0033773954
feature_111,0.0033358666
feature_124,0.003334033
feature_127,0.003324764
feature_159,0.003319496
feature_113,0.0033168837
feature_1,0.0032750857
feature_63,0.0032649292
feature_102,0.0032562776
feature_36,0.0032186047
feature_71,0.0032118657
feature_52,0.0031882431
feature_143,0.0031572827
feature_58,0.003129321
feature_89,0.003053417
feature_153,0.0029618195
feature_116,0.0029188013
feature_118,0.0029118317
feature_53,0.0028946223
feature_123,0.0028848879
feature_142,0.0028742922
feature_120,0.0028068556
feature_161,0.002786831
feature_107,0.0027562561
feature_2,0.0027548668
feature_33,0.002701127
feature_16,0.0026832419
feature_85,0.002678226
feature_76,0.0026197452
feature_14,0.0025097826
feature_152,0.0024638434
feature_43,0.002401111
feature_54,0.00239703
feature_38,0.0023901986
feature_28,0.0023825122
feature_44,0.0023820791
feature_83,0.0023687193
feature_140,0.0023230596
feature_64,0.0023213215
feature_31,0.0022861518
feature_20,0.002178453
feature_25,0.0020858762
feature_51,0.0020191993
feature_61,0.0018940383
feature_141,0.0018050919
feature_4,0.0018023977
feature_163,0.0017992896
feature_86,0.0017236822
feature_40,0.0017088131
feature_87,0.0016657794
feature_121,0.001339506
feature_48,0.0013314585
feature_8,0.0011378303
feature_60,0.0010844067
feature_15,0.00086713716
feature_92,0.0007817147
feature_34,0.0
feature_17,0.0
feature_50,0.0
feature_57,0.0
feature_98,0.0
feature_88,0.0
feature_69,0.0
feature_82,0.0
feature_68,0.0
feature_110,0.0
feature_122,0.0
feature_144,0.0
