Feature,Importance
feature_153,0.073089994
feature_30,0.05322898
feature_95,0.04874046
feature_13,0.043990564
feature_93,0.031134956
feature_105,0.030175177
feature_19,0.029075595
feature_10,0.02631905
feature_103,0.025486516
feature_23,0.023545561
feature_87,0.021130912
feature_12,0.017231071
feature_39,0.015420227
feature_70,0.015167356
feature_18,0.014857197
feature_149,0.012422803
feature_44,0.012334855
feature_33,0.012164411
feature_5,0.011796491
feature_106,0.011051028
feature_113,0.010316765
feature_89,0.010057266
feature_75,0.009997874
feature_7,0.00922027
feature_91,0.009006076
feature_107,0.008854538
feature_1,0.008504793
feature_138,0.007622238
feature_15,0.0070284912
feature_27,0.0069603496
feature_121,0.0068929633
feature_111,0.0067880955
feature_126,0.0065432102
feature_42,0.0064243595
feature_45,0.006408766
feature_53,0.006397578
feature_46,0.0063121035
feature_157,0.006287343
feature_119,0.0062778355
feature_3,0.0061902422
feature_68,0.006083567
feature_22,0.0060524177
feature_102,0.0060106046
feature_25,0.005940093
feature_66,0.005794758
feature_128,0.005676069
feature_37,0.005653553
feature_117,0.0055736033
feature_140,0.0054616146
feature_152,0.0054532723
feature_2,0.0053369473
feature_14,0.0052874815
feature_159,0.005278422
feature_0,0.0051995325
feature_150,0.005161541
feature_34,0.0051174993
feature_29,0.005070931
feature_132,0.0050479886
feature_109,0.0050425516
feature_76,0.0049974876
feature_94,0.004904558
feature_55,0.0048110657
feature_155,0.0047547827
feature_69,0.004748408
feature_81,0.0046975235
feature_115,0.0046368833
feature_147,0.004605201
feature_120,0.004579829
feature_92,0.0045784116
feature_143,0.0045667063
feature_124,0.0044501303
feature_104,0.0044070906
feature_77,0.0042833434
feature_43,0.0041904077
feature_67,0.004152113
feature_31,0.004125729
feature_78,0.004106295
feature_64,0.0040135253
feature_61,0.004009769
feature_6,0.0039791134
feature_139,0.003976033
feature_32,0.003913001
feature_85,0.003912137
feature_17,0.0038789574
feature_71,0.0038136975
feature_86,0.0038025405
feature_16,0.0036859096
feature_160,0.0035045405
feature_110,0.0034790987
feature_8,0.0034730122
feature_136,0.0034425964
feature_84,0.0034029405
feature_96,0.0033973516
feature_146,0.003384944
feature_58,0.0033321523
feature_162,0.0033272752
feature_156,0.0032625815
feature_154,0.003254325
feature_38,0.0032383841
feature_26,0.003237213
feature_73,0.0032283964
feature_145,0.003143223
feature_80,0.002980345
feature_83,0.002956265
feature_148,0.0029484231
feature_40,0.0029417798
feature_118,0.002875563
feature_144,0.0028737108
feature_56,0.0028564972
feature_127,0.0027777206
feature_135,0.0025736415
feature_108,0.0024924423
feature_158,0.0024613396
feature_101,0.0021273438
feature_36,0.0020807239
feature_114,0.0020688714
feature_125,0.0019271785
feature_20,0.0019103738
feature_90,0.0015026574
feature_137,0.001393696
feature_11,0.00085915555
feature_9,6.741643e-06
feature_4,0.0
feature_24,0.0
feature_35,0.0
feature_28,0.0
feature_21,0.0
feature_41,0.0
feature_49,0.0
feature_48,0.0
feature_51,0.0
feature_50,0.0
feature_99,0.0
feature_98,0.0
feature_97,0.0
feature_88,0.0
feature_74,0.0
feature_72,0.0
feature_79,0.0
feature_82,0.0
feature_59,0.0
feature_57,0.0
feature_52,0.0
feature_54,0.0
feature_63,0.0
feature_62,0.0
feature_60,0.0
feature_65,0.0
feature_47,0.0
feature_130,0.0
feature_129,0.0
feature_123,0.0
feature_122,0.0
feature_116,0.0
feature_100,0.0
feature_112,0.0
feature_131,0.0
feature_142,0.0
feature_134,0.0
feature_133,0.0
feature_141,0.0
feature_151,0.0
feature_161,0.0
feature_163,0.0
